id,artist,review_ids
0,,"['19032', '18989']"
1,!!!,"['21182', '17954', '14811', '14570', '9956', '1764', '1765']"
2,+/-,"['12394', '9649', '9654', '6356', '6355', '6354']"
3,-ziq,"['18307', '18207', '8326', '8321', '8324', '8322']"
4,...and you will know us by the trail of dead,"['19859', '17220', '15101', '12703', '12377', '9630', '182', '179', '178', '180']"
5,"1,2,3",['15532']
6,10 in the swear jar,['8301']
7,11:11,['19643']
8,12 rods,"['8202', '8201']"
9,120 days,"['16492', '9451']"
10,13 & god,"['15433', '8288']"
11,13ghosts,"['11399', '8309']"
12,13th floor elevators,['11855']
13,1990s,"['12886', '10395']"
14,2 chainz,"['22221', '21706', '21541', '20926', '19361', '18562', '17092']"
15,2 many djs,['8228']
16,20 miles,['8254']
17,20 minute loop,['8205']
18,200 years,['16018']
19,21 savage,['22161']
20,22-20s,['8296']
21,23 skidoo,['8245']
22,24-carat black,['13779']
23,2562,"['19978', '15451', '13622']"
24,28th day,['8248']
25,2:54,"['19812', '16671']"
26,2ne1,['19165']
27,2pac,['9663']
28,31knots,"['12243', '10079', '8274', '8986']"
29,4 hero,['3164']
30,50 cent,"['19429', '13700', '13249', '10654', '3046', '3045']"
31,50footwave,"['3296', '3295']"
32,60 watt kid,['11131']
33,6th borough project,['15552']
34,7 days of funk,['18801']
35,7 hertz,['11157']
36,7 worlds collide,['13512']
37,7 year bitch,['21423']
38,7 year rabbit cycle,['9103']
39,764-hero,"['7080', '7079']"
40,808 state,['15824']
41,8ball,['11964']
42,90 day men,"['5808', '5806', '5807']"
43,9th wonder,"['21215', '15005', '14108', '10791']"
44,a band of bees,"['14739', '10380', '1124', '1125']"
45,a camp,['12973']
46,a certain ratio,"['19835', '11657']"
47,a cloud mireya,['9281']
48,a cricket in times square,['1785']
49,a giant dog,['21887']
50,a grape dope,['3554']
51,a grave with no name,['13926']
52,a gun called tension,['3668']
53,a guy called gerald,"['12523', '3616']"
54,a hawk and a hacksaw,"['17831', '15188', '12997', '10589', '4012']"
55,a lull,"['16802', '15466']"
56,a minor forest,['19238']
57,a mountain of one,['10915']
58,a northern chorus,['476']
59,a place to bury strangers,"['20096', '16750', '16244', '13500', '10595']"
60,a pleasure,['21519']
61,a silver mt. zion,['7165']
62,a sunny day in glasgow,"['19478', '14752', '13962', '13440', '10005']"
63,a tribe called quest,"['22607', '21218']"
